Category,Claude capability,Current Claude source,What it does,Codex file(s) to create/update,Port steps,Compatibility notes,Priority
Plugin marketplace,Claude marketplace,./.claude-plugin/marketplace.json,Publishes general-plugin and obsidian-plugin to Claude Code marketplace,./.agents/plugins/marketplace.json or ~/.agents/plugins/marketplace.json,"Create Codex marketplace entries for general-plugin and obsidian-plugin; use local source paths; include policy.installation, policy.authentication, and category; keep Claude marketplace unchanged","Codex can read repo/personal marketplaces and also has legacy-compatible Claude marketplace support, but a native Codex marketplace is cleaner",High
Plugin manifest,general-plugin Claude manifest,./general-plugin/.claude-plugin/plugin.json,Defines general-plugin metadata for Claude Code,./general-plugin/.codex-plugin/plugin.json,"Create Codex plugin manifest with skills: ./skills/, hooks: ./hooks/hooks.json, and mcpServers: ./.mcp.json if MCP is bundled; keep existing directories in place","Codex plugins can bundle skills, hooks, and MCP servers, so this is packaging not content migration",High
Plugin manifest,obsidian-plugin Claude manifest,./obsidian-plugin/.claude-plugin/plugin.json,Defines obsidian-plugin metadata for Claude Code,./obsidian-plugin/.codex-plugin/plugin.json,Create Codex plugin manifest with skills: ./skills/ and optional mcpServers: ./.mcp.json for qmd/Obsidian support,Current SKILL.md layout is already Codex-compatible,High
Nested plugin,Ralph Wiggum Claude plugin,./general-plugin/skills/ralph-wiggum/.claude-plugin/plugin.json,Packages Ralph loop commands and stop hook for Claude Code,Keep ./general-plugin/skills/work-ralph/SKILL.md name; optional ./general-plugin/skills/ralph-wiggum/.codex-plugin/plugin.json only if packaged separately,Keep user-facing name vibe:work-ralph for parity; rewrite Codex behavior to be goal-oriented: user invokes /goal with vibe:work-ralph as workflow contract; keep Claude stop-hook files unchanged,Codex /goal is preferred long-running loop; exact stop-hook replay remains possible but secondary,Medium
Setup CLI,Claude setup command,./claude/setup.js,"Installs Claude config, MCP servers, plugins, hooks, statusline, and agents",No Codex replacement; preserve ./claude/setup.js,Do not remove or rewrite Claude behavior; use as source of truth for analogous Codex setup,Claude functionality must remain intact,High
Setup CLI,Codex setup command,./codex/setup.js,Currently writes AGENTS.md and stale .codex/config.json,./codex/setup.js and ./codex/vibe-setup output/.codex/config.toml,Replace config.json generation with config.toml; generate [agents] max_threads/max_depth; generate .codex/agents/*.toml from general-plugin/agents/*.md; generate Codex plugin marketplace entries; generate MCP config and hook/plugin references,Main migration automation point,High
Global instructions,Claude global instructions template,./shared/templates/global-claude.md,Writes Claude global instructions and Codex AGENTS.md content,./shared/templates/global-codex.md and/or ./codex/setup.js,Add Codex-specific template only where Claude-specific wording causes mismatch; otherwise reuse behavioral content,Avoid breaking Claude prompt semantics while adapting Codex tool names,Medium
Project memory,Lessons file,./shared/templates/lessons.md and ./.vibe/lessons.md,Stores project-specific lessons and self-correction rules,No new file; keep ./.vibe/lessons.md included by AGENTS.md and config,Ensure Codex AGENTS.md tells Codex to read .vibe/lessons.md; keep setup creating file if absent,Already compatible,High
MCP,postgres MCP,./claude/setup.js and ./.codex/config.toml,Postgres schema/data inspection via MCP,./.codex/config.toml or plugin .mcp.json,Generate mcp_servers.postgres command npx -y @modelcontextprotocol/server-postgres postgresql://localhost:5432/postgres,Already partially present,High
MCP,github MCP,./claude/setup.js and ./.codex/config.toml,GitHub issue/PR/repo operations via MCP,./.codex/config.toml or plugin .mcp.json,Add env mapping for GITHUB_PERSONAL_ACCESS_TOKEN; keep command npx -y @modelcontextprotocol/server-github,Current .codex/config.toml lacks env token,High
