File,What it is,Why interesting,Effort,Payoff
claude/setup.js,After the statusline block and before the final console.log: mkdir -p ~/.claude/agents/ then loop over general-plugin/agents/*.md copying each file to ~/.claude/agents/,Enables named agent files so skills reference them by subagent_type instead of embedding instructions inline,Low,High
general-plugin/agents/researcher.md (new),"Research agent. Tool priority: (1) Context7 MCP — mcp__context7__resolve-library-id then mcp__context7__query-docs / (2) WebFetch on official docs / (3) WebSearch with cross-verification. Provenance tag every factual claim: [VERIFIED] = confirmed via Context7 or official docs this session / [CITED: url] = linked source / [ASSUMED] = training knowledge only. Package check for every recommended package: run npm view <pkg> version (Node) or pip index versions <pkg> (Python) — if command errors the package is likely hallucinated / remove it. Writes .plan/RESEARCH.md with sections: Standard Stack (table: library / version / purpose / provenance tag) / Architecture Pattern / Don't Hand-Roll (table: problem / use instead / why) / Common Pitfalls / Package Legitimacy (table: package / registry check / result) / Environment (table: tool / required for / available) / Open Questions (for vibe:plan to resolve). Content embedded inline in agent file — no GSD dependency.",Catches hallucinated libraries before they land in tasks; provenance discipline makes research trustworthy,Medium,High
general-plugin/agents/code-reviewer.md (new),"Adversarial reviewer. Bug pattern checklist embedded inline in agent file (covers: null/undefined access / off-by-one / async/timing / state management / import/module / type coercion / environment/config / data shape / error handling / scope/closure). Stance: assume defects exist — starting hypothesis is this code has bugs. Input via prompt: depth (quick/standard/deep) and file list. quick = grep only — secrets / dangerous sinks / debug artifacts / empty catch. standard = read each file + language checks — JS/TS / Python / Go / Shell. deep = all of standard + cross-file: import graph / call chains / error propagation / type consistency at API boundaries. Output: markdown to terminal grouped BLOCKER → WARNING → INFO / each finding has file:line / description / fix suggestion. Second pass applies checklist.md from vibe:review skill.",Single agent at any depth; adversarial stance + systematic bug pattern checklist replaces vibes-based review,Medium,High
general-plugin/skills/review/SKILL.md (new — replaces audit),"Replaces and deletes general-plugin/skills/audit/SKILL.md; checklist.md moved from audit/ to review/. Get file list: git diff --cached --name-only first / fallback to git diff HEAD --name-only. Filter out: lock files (package-lock.json / yarn.lock / *.lock) / generated (dist/ / build/ / *.min.js) / .plan/ directory. If no files remain print 'Nothing to review.' and stop. Parse depth flag: --quick / --standard / no flag = deep (default). Read general-plugin/skills/review/checklist.md then spawn code-reviewer agent with depth + file list + checklist content. Agent produces two blocks: adversarial findings + checklist pass. All output to terminal only / no file written. If review clean: suggest commit message.",One skill replaces two; deep by default; checklist always runs as a second pass inside the agent,Low,High
general-plugin/skills/plan/SKILL.md (update),"Two additions to conversation_flow: (1) In Stage 1 PROBE: check if .plan/RESEARCH.md exists — read silently if found. In Stage 2 OPEN (before existing plan check): if RESEARCH.md absent ask once via AskUserQuestion 'Run researcher agent before planning?' — yes spawns researcher subagent (subagent_type: researcher) with git probe + $ARGUMENTS as context then reads RESEARCH.md / no skips. (2) In Stage 3 FOLLOW THE THREAD: when plan hits a genuine gray area add guideline — produce 5-column table before recommending: Option / Pros / Cons / Complexity / Recommendation — Recommendation must always be conditional ('Rec if X') never a single winner.",Research folded into plan flow; comparison tables prevent dogmatic single-winner recommendations,Low,Medium
obsidian-plugin/skills/learn/SKILL.md (update),"Add detection block at start of Step 3 (Synthesize the Note) before the template branch. AI framework triggers: explicit names (LangChain / LlamaIndex / LangGraph / CrewAI / AutoGen / Haystack / OpenAI Agents SDK / Anthropic SDK / Google ADK / Vercel AI SDK / DSPy / Instructor / LiteLLM) or any package whose README prominently mentions LLM / agent / RAG / embedding pipeline / tool use / structured output. When detected: write standard template sections first / then append four extra sections: ## Core Pattern (minimal runnable snippet for the primary system type from fetched docs — mark [ASSUMED] if not in docs) / ## Structured Output (how this framework integrates Pydantic or equivalent — include the framework-specific method e.g. .with_structured_output() / instructor / PydanticOutputParser) / ## Async Notes (the single most common async mistake for this framework in 2-3 sentences) / ## Context Window Strategy (how the framework handles context exceeding the model window — one paragraph).",Richer AI framework notes without replacing the standard template,Low,Medium
references/common-bug-patterns.md → code-reviewer agent,"Content embedded inline in general-plugin/agents/code-reviewer.md (bug pattern checklist covering: null/undefined / off-by-one / async/timing / state management / import/module / type coercion / environment/config / data shape / error handling / scope). No file copy or GSD path reference — self-contained in the agent.",Systematic scan list gives the reviewer a starting checklist covering ~80% of frequent bugs; no GSD dependency,Low — content in agent file,High
references/thinking-models-execution.md → vibe:work,"Two models added inline to vibe:work Stage 4 DISPATCH IMPLEMENTERS implementer prompt — Circle of Concern vs Control: before modifying any file not in the task Files list ask whether it is in scope — if not document as deviation note / do NOT fix it / and Forcing Function: resolve hard decisions at build time not at runtime using TypeScript never types / build-time assertions / interfaces that force error handling. No file reference needed.",Directly counters the #1 executor failure: scope creep from while-I'm-here fixes that TDD mandate does not address,Low — inline in Stage 4 prompt,Medium
references/universal-anti-patterns.md → all agents,"Relevant general rules embedded inline in each agent file (researcher / code-reviewer / debugger): do not read agent definition files directly / do not inline large files into subagent prompts / do not re-derive context unnecessarily / warn when context is heavy. GSD-specific rules (gsd-sdk / iOS / STATE.md) omitted — not relevant to this setup.",Prevents agent context bloat as the agent library grows,Low — embedded in each agent,Medium
references/verification-patterns.md → vibe:work,"4-level verification check added inline to vibe:work Stage 5 reviewer instructions as step 6 — reviewer must check for each file in task Files: (1) Exists: file present at expected path / (2) Substantive: real implementation not stub or placeholder (grep for TODO/FIXME/placeholder/not implemented/return null) / (3) Wired: connected to the rest of the system (imported / registered / called) / (4) Functional: actually works when invoked (covered by re-running Done-when commands). Levels 1-3 checked programmatically. Level 4 via Done-when commands already in step 3.",Reviewer currently checks Done-when commands exist; this adds wired and functional checks,Low — inline in Stage 5,Medium
